Epochs,Batch size,Optimizer,Loss,Kernel,Bias,Accuracy
10,5,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
10,10,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
10,20,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
10,50,adam,MeanSquaredError,random_uniform,zeros,97.51353859901428
10,75,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
10,100,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
20,5,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
20,10,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
20,20,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,50,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,75,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
20,100,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,5,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,10,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,20,adam,MeanSquaredError,random_uniform,zeros,97.538161277771
50,50,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,75,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
50,100,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
75,5,adam,MeanSquaredError,random_uniform,zeros,97.58739471435547
75,10,adam,MeanSquaredError,random_uniform,zeros,99.90152716636658
